kanji,hanzi,meaning_vi,meaning_en,jlpt_level,onyomi,kunyomi,stroke_count,radical_utf,radical_name_ja,radical_meaning,story,num_vocab_examples,prev_kanji,next_kanji
北,BẮC,Phía Bắc,north,N5,ホク,きた,5,⼔,さじ,spoon,Dựa tường (丬) dùng thìa (匕) xúc cơm nhìn về Bắc (北) Hải Đạo,2,七,円
九,CỬU,Chín,nine,N5,キュウ、ク,ここの、ここのつ,2,⼄,おつ,the second ,"Bạn Cáo có chín đuôi (九), bạn Lực cụp đuôi (力)",3,万,口
円,VIÊN,Tiền Yên,"circle, yen, round",N5,エン,まる、まるい,4,⼌ ,けいがまえ,to enclose,Ở biên giới (冂) chỉ tiêu (丄) tiên Yên (円),3,北,五
四,TỨ,Bốn,four,N5,シ,よ、よん,5,⼞,くにがまえ,"border, territorial boundaries",Người vây quanh (囗) chân chạy (儿) bốn (四) phía,3,口,西
口,KHẨU,Cái miệng,mouth,N5,コウ、ク,くち,3,⼝,くち,mouth,Miệng (口) há ra nói lời cay độc,5,九,四
五,NGŨ,Năm,five,N5,ゴ,いつ、いつつ,4,⼆,に,two,Leo từ tầng (Ｔ) 1 (ユ) đến tầng 5 (五),3,円,竹
竹,TRÚC,Tre trúc,bamboo,N5,チク,たけ,6,⽵,たけ,bamboo,Tiếng cười keke (ケケ) phát ra từ bụi trúc (竹),1,五,気
左,TẢ,Trái,left,N5,サ,ひだり,5,⼯,たくみ,"work, carpenter, skill",1 (一) tài Phiệt (丿) vận công (工) bằng tay trái (左),1,気,右
岩,NHAM,Núi đá,"boulder, rock, cliff",N5,ガン,いわ,8,,やまかんむり,mountain,Núi (山) đá (石) hình thành từ nham thạch (岩),2,石,年
人,NHÂN,Người,person,N5,ジン、ニン,ひと,2,⼈,ひと,person,Người (人) đang đội nón,20,年,入
入,NHẬP,Vào,"enter, insert",N5,ニュウ,い、はい、いり、いる、はいる、いれる、いれ,2,⼊,いる,to enter,Nhập (入) ngược với Nhân (人),10,人,大
大,ĐẠI,"To, lớn","large, big",N5,ダイ、タイ,おお、おおきい,3,⼤,だい,"large, big",1 (一) người (人) to lớn (大),19,入,犬
犬,KHUYỂN,Con chó,dog,N5,ケン,いぬ,4,⽝,いぬ,dog,Chấm (丶) to (大) ở lưỡi là chó (犬) khôn,1,大,子
字,TỰ,Chữ,"character, letter, word, section of village",N5,ジ,あざ,6,⼧,うかんむり,"roof, house","Dưới mái nhà (宀), trẻ con (子) đang tập viết chữ (字)",3,子,学
月,NGUYỆT,Mặt trăng,"month, moon",N5,ゲツ、ガツ,つき,4,⽉,つき,"moon, month, period",Hình Mặt Trăng,10,学,言
学,HỌC,Học,"study, learning, science",N5,ガク,まな、まなぶ,8,⼦,こ,"child, son",3 (⺍) đêm trùm khăn (冖) con (子) đều học tập (学) chăm chỉ,18,字,月
子,TỬ,Con,"child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac",N5,シ、ス,こ,3,⼦,こ,"child, son",Kết thúc (了) 1 (一) cuộc tình đẹp là có đứa con (子),15,犬,字
牛,NGƯU,Trâu bò,cow,N5,ギュウ,うし,4,⽜,うし,cow,Con bò (牛) mọc sừng vào đúng giờ Ngọ (午),4,言,花
花,HOA,Hoa,flower,N5,カ,はな,7,⺾,くさかんむり,grass,Cỏ (艹) hóa (化) hoa (花),6,牛,今
上,THƯỢNG,Trên,"above, up",N5,ジョウ、ショウ,うえ、うわ、かみ、あ、あげる、あがる、のぼ、のぼる,3,⼀,いち,"one, horizontal stroke",Bốc (卜) 1 (一) quẻ lên (上) xem vận mệnh,10,土,下
気,KHÍ,Không khí,"spirit, mind, air, atmosphere, mood",N5,キ、ケ,"いき, き",6,⽓,きがまえ,"steam, air",Khí (气) mà mọi người đều mê (メ) là không khí (気),11,竹,左
今,KIM,"Hiện tại, bây giờ",now,N5,コン、キン,いま,4,𠆢,ひとやね,person ,Người (𠆢) RA (ラ) xem bây giờ (今) là mấy giờ?,14,花,米
万,VẠN,Mười nghìn,"ten thousand, 10,000",N5,マン、バン,よろず,3,⼀,いち,"one, horizontal stroke",1 (一) bao (勹) thóc giá 1 vạn (万),1,下,九
石,THẠCH,Đá,stone,N5,セキ、シャク、コク,いし,5,⽯,いし,stone,1 (一) tài Phiệt (丿) phải có miệng (口) sắt đá (石),3,右,岩
右,HỮU,Phải,right,N5,ウ、ユウ,みぎ,5,⼝,くち,mouth,1 (一) tài Phiệt (丿) miệng (口) nói toàn điều phải (右),1,左,石
言,NGÔN,Nói,"say, word",N5,ゲン、ゴン,い、いう、こと,7,⾔,げん,"words, to speak, say",Cái miệng (口) nói (言) 3 lời ngắn 1 lời dài,3,月,牛
年,NIÊN,Năm,"year, counter for years",N5,ネン,とし,6,⼲,かん,"to dry, shield",Nằm (𠂉) suốt 14 (牛) năm (年),15,岩,人
木,MỘC,Cây,"tree, wood",N5,ボク、モク,き、こ,4,⽊,き,"tree, wood",Hình cái cây (木),2,来,林
米,MỄ,Gạo,"rice, USA, metre",N5,ベイ、マイ,こめ,6,⽶,こめ,rice,2 (丷) hạt phía trên cây (木) là hạt gạo (米),2,今,来
来,LAI,Đến,"come, due, next, cause, become",N5,ライ,く、くる、きた、きたる,7,⽊,き,"tree, wood",1 (一) loại gạo (米) mới sẽ ra đời trong tương lai (来),10,米,木
森,SÂM,Rừng rậm,"forest, woods",N5,シン,もり,12,⽊,き,"tree, wood",3 cây (木) là rừng rậm (森),1,林,休
林,LÂM,Rừng thưa,"grove, forest",N5,リン,はやし,8,,きへん,"tree, wood",2 cây (木) là rừng thưa (林),1,木,森
休,HƯU,Nghỉ ngơi,"rest, day off, retire, sleep",N5,キュウ,やす、やすむ、やすみ、やすめる,6,⺅,にんべん,person ,Người đứng (亻) cạnh cây (木) để nghỉ ngơi (休),5,森,本
本,BẢN,"Gốc, sách","book, present, main, origin, true, real, counter for long cylindrical things",N5,ホン,もと,5,⽊,き,"tree, wood",Mỗi cây (木) chỉ có 1 (一) gốc (本),10,休,体
体,THỂ,Cơ thể,"body, substance, object, reality, counter for images",N5,タイ、テイ,からだ,7,⺅,にんべん,person ,Nhân (亻) bản (本) cơ thể (体),5,本,音
音,ÂM,Âm thanh,"sound, noise",N5,オン、ノン、イン,おと、ね,9,⾳,おと,"sound, noise",Đứng (立) ở Nhật (日) nhớ về âm thanh (音) quê hương,5,体,暗
水,THỦY,Nước,water,N5,スイ,みず,4,⽔,みず,water,Hình giọt nước bắn sang 2 bên (水),4,暗,泳
火,HỎA,Lửa,fire,N5,カ,ひ,4,⽕,ひ,fire,2 (丷) tay người (人) vùng vẫy để thoát khỏi đám lửa (火),6,泳,立
暗,ÁM,Tối,"darkness, disappear, shade, informal, grow dark, be blinded",N5,アン,くら、くらい、くらさ,13,,ひへん,"sun, day, time",Ở Nhật (日) âm thanh (音) ồn ảo từ sáng đến tối (暗),2,音,水
泳,VỊNH,Bơi,swim,N5,エイ,およ、およぐ、およぎ,8,⺡,さんずい,water,Nước (氵) vĩnh cửu (永) dùng để bơi (泳),2,水,火
立,LẬP,Đứng,"stand up, rise, set up, erect",N5,リツ、リュウ,た、たて、たつ、たち、たてる,5,⽴,たつ,to stand,"Đầu (亠) đội trời, chân đạp đất (䒑), đứng dậy (立) lập nghiệp",3,火,話
話,THOẠI,"Hội thoại, đàm thoại","tale, talk",N5,ワ,はな、はなす、はなし,13,,ごんべん,"words, to speak, say",Lời nói (言) qua cái lưỡi (舌) thành hội thoại (話),6,立,門
門,MÔN,Cổng,"gate, counter for cannons",N5,モン,かど,8,⾨,もんがまえ,"gate, door",Hình 2 cánh cổng (門),2,話,聞
聞,VĂN,Nghe,"hear, ask, listen",N5,ブン、モン,き、きく、きこえる,14,⾨,もんがまえ,"gate, door",Đứng dưới cổng (門) vểnh tai (耳) nghe (聞),3,門,間
間,GIAN,"Khoảng, thời gian","interval, space",N5,カン、ケン,あいだ、ま,12,⾨,もんがまえ,"gate, door",Cổng (門) ở Nhật (日) là cánh cổng thời gian (間),9,聞,金
買,MÃI,Mua,buy,N5,バイ,か、かう,12,⾙,かい,"shell, property, wealth",Mua (買) võng (罒) cho bảo bối (貝) với giá khuyến mãi,1,貝,生
金,KIM,"Kim loại, tiền, vàng",gold,N5,キン、コン,かね、かな,8,⾦,かね,"metal, gold, mineral",Người (𠆢) làm vua (王) có 2 (丷) túi tiền vàng (金),9,間,貝
貝,BỐI,"Bảo bối, con sò",shellfish,N5,バイ,かい,7,⾙,かい,"shell, property, wealth",Mắt (目) mở to khi nhìn thấy 8 (ハ) bảo bối (貝) quý hiếm,1,金,買
寺,TỰ,Chùa,Buddhist temple,N5,ジ,てら,6,⼨,すん,"inch, (2.25 cm)",Đất (土) thốn (寸) không được xây chùa (寺),1,生,時
生,SINH,Học sinh,"life, genuine, birth",N5,セイ、ショウ,い、いきる、う、うまれる、うむ、お、は、はえる、はやす、なま、き,5,⽣,うまれる,"birth, to be born, live",Học sinh (生) nằm (𠂉) ra đất (土) ngủ,15,買,寺
魚,NGƯ,Con cá,fish,N5,ギョ,うお、さかな,11,⿂,うお,fish,Móc (ク) dưới ruộng (田) rồi đốt lửa (灬) nướng cá (魚),1,時,雨
時,THỜI,"Thời gian, giờ","time, hour",N5,ジ,とき,10,,ひへん,"sun, day, time",Dành thời gian (時) cả ngày (日) trên chùa (寺),8,寺,魚
雨,VŨ,Mưa,rain,N5,ウ,あめ、あま,8,⾬,あめ,rain,"Một (一) tia (〡) giáng xuống biên giới (冂), hàng vạn hạt (丶) mưa (雨) đã rơi",1,魚,電
電,ĐIỆN,Điện,electricity,N5,デン,,13,⻗,あめかんむり,rain,Mưa (雨) ngày (日) càng Lớn (L) làm đứt dây điện (電),10,雨,新
中,TRUNG,"Giữa, bên trong","in, inside, middle, mean, center",N5,チュウ,なか,4,⼁,たてぼう,vertical stroke,Miệng (口) nói thẳng (丨) vào trung tâm (中) của vấn đề,11,新,半
新,TÂN,Mới,new,N5,シン,あら、あたら、あたらしい、あらた、にい,13,⽄,おのづくり,axe,Đứng (立) trên cây (木) khoe cái rìu (斤) mới (新),6,電,中
母,MẪU,Mẹ,mother,N5,ボ,はは,5,⽏,なかれ,"not, mother",Từ nhỏ (く) đến lớn (フ) 2 (丶丶) đứa con được 1 (一) mình mẹ (母) chăm sóc,4,半,方
友,HỮU,Bạn bè,friend,N5,ユウ,とも,4,⼜,また,"again, right hand",1 (一) tài Phiệt (丿) lại (又) có bạn (友) mới,2,方,分
方,PHƯƠNG,Phương hướng,"direction, person, alternative",N5,ホウ,かた,4,⽅,ほう,"direction, flag",Dùng đầu (亠) đội bao (勹) đi bốn phương (方),5,母,友
分,PHÂN,"Chia, phút","part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100",N5,ブン、フン、ブ,わ、わける、わかる、わかれる,4,⼑,かたな,"knife, sword",Có 8 (八) cây đao (刀) cần phân chia (分),8,友,食
食,THỰC,Ăn,"eat, food",N5,ショク、ジキ,く、くう、た、たべる,9,⾷,しょく,"food, to eat",Người (𠆢) tốt (良) nhất sẽ được ăn (食) ngon,7,分,父
父,PHỤ,Bố,father,N5,フ,ちち,4,⽗,ちち,father,Thế hệ 8 (ハ) X (乂) là Bố (父),3,食,校
百,BÁCH,Một trăm,hundred,N5,ヒャク,もも,6,⽩,しろ,white,Trắng (白) nhất (一) cuộc thi là người được 100 (百) điểm,1,校,読
半,BÁN,Một nửa,"half, middle, odd number, semi-, part-",N5,ハン,なか、なかば,5,⼗,じゅう,ten,2 (丷) 2 (ニ) chia (丨) nửa (半) bằng?,3,中,母
読,ĐỘC,Đọc,read,N5,ドク、トク、トウ,よ、よむ,14,,ごんべん,"words, to speak, say",Lời nói (言) của người bán (売) được đọc (読) từ sách kinh doanh,2,百,車
校,HIỆU,Trường học,"exam, school, printing, proof, correction",N5,コウ,,10,,きへん,"tree, wood",Cây (木) được giao (交) cho thầy Hiệu (校) trưởng,4,父,百
出,XUẤT,"Ra, xuất phát","exit, leave, go out, come out, put out, protrude",N5,シュツ、スイ,で、だ、でる、だす,5,⼐,かんにょう,"container, open box",Bị 2 ngọn núi (山) đè nên không thể xuất (出) ra được,12,明,書
書,THƯ,"Sách, viết",write,N5,ショ,か、かく,10,⽇,ひ,"sun, day, time",Bút (聿) Nhật (日) viết (書) rất đẹp,9,出,元
古,CỔ,"Cổ, cũ",old,N5,コ,ふる、ふるい,5,⼝,くち,mouth,Câu chuyện qua 10 (十) cái miệng (ロ) trở thành truyện cổ (古),1,元,何
車,XA,Xe,car,N5,シャ,くるま,7,⾞,くるま,"vehicle, wheel, car",2 (二) ngày (日) làm xong 1 (丨) chiếc xe (車),9,読,明
夕,TỊCH,Chiều tối,evening,N5,セキ,ゆう,3,⼣,ゆうべ,evening,Chiều tối còn mình ta (夕 - katakana),1,何,外
何,HÀ,"Gì, cái gì",what,N5,カ,なに、なん,7,⺅,にんべん,person ,Người (亻) có khả năng (可) làm cái gì (何)?,17,古,夕
明,MINH,Sáng,"bright, light",N5,メイ、ミョウ,あ、あける、あか、あかるい、あからむ、あき、あきらか,8,,ひへん,"sun, day, time",Mặt Trời (日) và Mặt Trăng (月) đều rất sáng (明),6,車,出
元,NGUYÊN,Nguồn gốc,"beginning, former time, origin",N5,ゲン、ガン,もと,4,⼉,ひとあし,human legs,2 (二) chân (儿) vẫn còn nguyên (元),2,書,古
外,NGOẠI,Bên ngoài,outside,N5,ガイ、ゲ,そと、ほか、はず、はずす、はずれる,5,⼣,ゆうべ,evening,Tatoo (夕) (ト) xuất phát từ ngoại quốc (外),5,夕,多
多,ĐA,Nhiều,"many, frequent, much",N5,タ,おお、おおい、おおく,6,⼣,ゆうべ,evening,Hai ta (夕) là số nhiều (多),2,外,名
名,DANH,Tên,"name, noted, distinguished, reputation",N5,メイ、ミョウ,な,6,⼝,くち,mouth,TA (夕) RO (ロ) là tên (名) rất thông dụng,3,多,小
小,TIỂU,Nhỏ,"little, small",N5,ショウ,ちい、ちいさい、こ、お,3,⼩,しょう,small,Quyết (亅) tâm cắt đôi số 8 (ハ) để chia nhỏ (小),6,名,少
少,THIỂU,Ít,"few, little",N5,ショウ,すく、すこ、すくない、すこし,4,⼩,しょう,small,Đã nhỏ (小) bị lấy đi 1 (ノ) ít càng thiếu (少),3,小,帰
帰,QUY,Trở về,"homecoming, arrive at, lead to, result in",N5,キ,かえ、かえる,10,⼱,はば,cloth,Cầm đao (刂) cầm chổi (帚) quay trở về (帰),2,少,内
内,NỘI,Bên trong,"inside, within, between, among, house, home",N5,ナイ,うち,4,⼌ ,けいがまえ,to enclose,Bên trong (内) biên giới (冂) mọi người (人) thường sống hướng nội,2,帰,肉
肉,NHỤC,Thịt,meat,N5,ニク,しし,6,⾁,にく,"flesh, meat",Bên trong (内) con người (人) là thịt (肉),5,内,見
見,KIẾN,Nhìn,"see, hopes, chances, idea, opinion, look at, visible",N5,ケン,み、みる、みえる、みせる,7,⾒,みる,to see,Kiến nhìn (見) bằng mắt (目) chân chạy (儿) rất nhanh,12,肉,女
女,NỮ,Phụ nữ,"woman, female",N5,ジョ、ニョ、ニョウ,おんな、め,3,⼥,おんな,woman,Em nhỏ (く) lớn (フ) lên thành phụ nữ (女),4,見,好
安,AN,An toàn,"relax, cheap, low, quiet, rested, contented, peaceful",N5,アン,やす、やすい、やすまる、やすらか,6,⼧,うかんむり,"roof, house",Dưới mái nhà (宀) phụ nữ (女) sẽ được an toàn (安),3,好,町
好,HẢO,Thích,"fond, pleasing, like something",N5,コウ,この、このむ、このみ、す、すき、すく、よ、よい、い、いい,6,,おんなへん,woman,Đàn ông thích (好) phụ nữ (女) và trẻ con (子),2,女,安
町,ĐINH,Thị trấn,"town, village, block, street",N5,チョウ,まち,7,,たへん,rice paddy,Ra ruộng (田) dẫm phải đinh (丁) lên thị trấn (町) chữa trị,1,安,東
東,ĐÔNG,Phía Đông,east,N5,トウ,ひがし,8,⽊,き,"tree, wood",Mặt trời (日) lấp ló sau cây (木) ở phía đông (東),2,町,高
山,SƠN,Núi,mountain,N5,サン,やま,3,⼭,やま,mountain,3 cây chụm lại nên hòn núi cao (山),4,高,足
足,TÚC,Chân,"leg, foot, be sufficient, counter for pairs of footwear",N5,ソク,あし、た、たる、たりる、たす,7,⾜,あし,"foot, leg","Chân (足) đá tung mồm (口) hạ (下) nhân (人),",2,山,南
飲,ẨM,Uống,"drink, smoke, take",N5,イン,の、のむ,12,⻟,しょくへん,"food, to eat",Ăn (食) thì không thể thiếu (欠) uống (飲),4,南,田
南,NAM,Phía Nam,south,N5,ナン,みなみ,9,⼗,じゅう,ten,Ở phía Nam (南) có 10 (十) người ra biên giới (冂) nhặt tiền Yên (￥),1,足,飲
茶,TRÀ,Trà,tea,N5,チャ、サ,,9,⺾,くさかんむり,grass,Cô giáo Thảo (艹) là người (人) cười hô hô (ホ) khi uống trà (茶),6,物,行
川,XUYÊN,Sông,"stream, river, river or three-stroke river radical (no. 47)",N5,セン,かわ,3,川,さんぼんがわ,river,Hình dòng sông (川),1,行,耳
田,ĐIỀN,Ruộng,"rice field, rice paddy",N5,デン,た,5,⽥,た,rice paddy,Hình ruộng lúa (田),3,飲,畑
畑,VƯỜN,Ruộng hoa màu,"farm, field, garden, one's specialty, (kokuji)",N5,,はた、はたけ,9,⽥,た,rice paddy,Đốt (火) ruộng (田) làm vườn (畑),2,田,物
高,CAO,"Cao, đắt","tall, high, expensive",N5,コウ,たか、たかい、たかさ、たかまる、たかぶる、たかめる,10,⾼,たかい,high,Lúc đầu (亠) to mồm (口) nhưng bị bán qua biên giới (冂) thì mồm (口) không cao (高) ngạo được nữa,3,東,山
行,HÀNH,"Đi, ngân hàng","going, journey, carry out, conduct, act, line, row, bank",N5,コウ、ギョウ、アン,い、いく、ゆ、ゆく、おこな、おこなう,6,⾏,ぎょうがまえ,to go,2 người (彳) bị dẫm vào 1 (ー) cái đinh (丁) khi đi bộ hành (行),9,茶,川
物,VẬT,"Vật, đồ vật","thing, object, matter",N5,ブツ、モツ,もの,8,,うしへん,cow,Bò (牛) + vật (勿) = Động vật (物),16,畑,茶
耳,NHĨ,Cái tai,ear,N5,ジ,みみ,6,⽿,みみ,ear,Tai (耳) gần giống mắt (目),1,川,男
男,NAM,Đàn ông,male,N5,ダン、ナン,おとこ,7,⽥,た,rice paddy,Làm ruộng (田) phải có sức lực (力) của đàn ông (男),4,耳,先
先,TIÊN,"Trước, tiên sinh","before, ahead, previous, future, precedence",N5,セン,さき,6,⼉,ひとあし,human legs,Tài phiệt (丿) bán đất (土) tháo chạy (儿) trước (先) biến động thị trường,4,男,長
長,TRƯỜNG,Dài,"long, leader, superior, senior",N5,チョウ,なが、ながい,8,⻑,ながい,long,Em (E) mặc y phục (衣) dài (長),6,先,鳥
鳥,ĐIỂU,Con chim,"bird, chicken",N5,チョウ,とり,11,⿃,とり,bird,Ô con quạ (烏) đen biến thành con chim (鳥) trắng,2,長,毛
毛,MAO,Lông,"fur, hair, feather, down",N4,モウ,け,4,⽑,け,hair,Lông (毛) ngược với tay (手),4,鳥,刀
刀,ĐAO,Kiếm,"sword, saber, knife",N4,トウ,かたな,2,⼑,かたな,"knife, sword","Lực (力) thừa, đao (刀) thụt",3,毛,力
丸,HOÀN,Tròn,"round, full (month), perfection, -ship, pills, make round, roll up, curl up, seduce, explain away",N4,ガン,まる、まるい、まるめる,3,⼂,てん,dot,Số 9 (九) cắt (、) đuôi thì hoàn toàn là hình tròn (丸),2,力,究
究,CỨU,Nghiên cứu,"research, study",N4,キュウ,きわ、きわめる,7,,あなかんむり,"hole, cave",Đào lỗ (穴) xuống cửu (九) tuyền để nghiên cứu (究),4,丸,酒
力,LỰC,Sức lực,"power, strength, strong, strain, bear up, exert",N4,リョク、リキ,ちから,2,⼒,ちから,power,Đại Ka (カ) (ka trong bảng katakana) phải có Lực (力),11,刀,丸
酒,TỬU,Rượu,"sake, alcohol",N4,シュ,さけ、さか,10,⾣,ひよみのとり,"sake jar, bird",Ủ men với nước (氵) tới giờ Dậu (酉) sẽ thành rượu (酒),6,究,光
光,QUANG,Ánh sáng,"ray, light",N4,コウ,ひか、ひかる、ひかり,6,⼉,ひとあし,human legs,Tiểu (小) cô nương có 1 (一) cặp chân (儿) trắng sáng (光),5,酒,当
当,ĐƯƠNG,"Đương thời, hiện tại","hit, right, appropriate, himself",N4,トウ,あ、あたり、あたる、あてる,6,⺌,しょうかんむり,small,Tiểu (小) cô nương! Em (ヨ) đương nhiên (当) rất xinh đẹp!,17,光,社
社,XÃ,"Xã hội, công ty","company, firm, office, association, shrine",N4,シャ,やしろ,7,⺭,しめすへん,"altar, festival, religious service",Chỉ thị (ネ) cúng thổ (土) địa cho xã hội (社) phát triển,15,当,降
降,GIÁNG,"Xuống, rơi","descend, precipitate, fall, surrender",N4,コウ,お、ふ、おりる、おろす、ふる、ふり,10,⻖,こざとへん,"hill, mound",Bồ (阝) sau (夂) 14 (牛) năm bị giáng (降) chức,5,社,麦
麦,MẠCH,Lúa mạch,"barley, wheat",N4,バク,むぎ,7,⻨,むぎ,wheat,Ông vua lòi đầu (王) truy (夂) tìm lúa mạch (麦),2,降,太
天,THIÊN,Trời,"heavens, sky, imperial",N4,テン,あめ、あま,4,⼤,だい,"large, big",1 (一) thứ to (大) nhất là trời (天),6,太,夫
太,THÁI,"To, béo","plump, thick, big around",N4,タイ、タ,ふと、ふとる、ふとい、ふとった、ふとさ,4,⼤,だい,"large, big",To (大) + lủng lẳng ( 、) = béo (太),4,麦,天
夫,PHU,Chồng,"husband, man",N4,フ、フウ,おっと,4,⼤,だい,"large, big",Chồng (夫) cao hơn trời (天),8,天,有
有,HỮU,Có,"possess, have, exist, happen, occur, approx",N4,ユウ、ウ,あ、ある,6,⽉,つき,"moon, month, period",Có (有) na (ナ) Nguyệt (月) cũng không thèm ăn,5,夫,午
化,HÓA,Biến hóa,"change, take the form of, influence, enchant, delude, -ization",N4,カ、ケ,ば、ばける、ばかす,4,⼔,さじ,spoon,Người đứng (亻) cười hihi (ヒ) là hóa (化) điên,7,午,界
界,GIỚI,Thế giới,"world, boundary",N4,カイ,,9,⽥,た,rice paddy,Ruộng (田) lúa ở Việt Nam được giới thiệu (介) ra toàn thế giới (界),5,化,奥
奥,ÁO,"Bên trong, sâu","heart, interior",N4,オウ,おく,12,⼤,だい,"large, big",Tài phiệt (ノ) ở biên giới (冂) có đống gạo (米) to (大) cất góc trong cùng (奥),2,界,科
午,NGỌ,Trưa,"noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac",N4,ゴ,うま,4,⼗,じゅう,ten,Người nằm (𠂉) đến 10 (十) giờ trưa (午),2,有,化
科,KHOA,Ngành học,"department, course, section",N4,カ,,9,⽲,のぎへん,grain,Lúa (禾) dùng đấu (斗) để đong rất khoa học (科),8,奥,料
料,LIỆU,Nguyên liệu,"fee, materials",N4,リョウ,,10,⽃,ますづくり,"big dipper, ladle, 18 liters",Đong gạo (米) băng đấu (斗) liệu (料) có chuẩn?,14,科,作
作,TÁC,"Làm, sáng tạo","make, production, prepare, build",N4,サク、サ,つく、つくる、つくり,7,⺅,にんべん,person ,Người (亻) bị Ép (乍) sáng tác (作),8,料,問
開,KHAI,Mở,"open, unfold, unseal",N4,カイ,ひら、ひらく、あ、あく、あける,12,⾨,もんがまえ,"gate, door",Đứng dưới cổng (門) 1 (一) người đang chắp tay (廾) mở (開) cửa,4,問,閉
問,VẤN,Hỏi,"question, ask, problem",N4,モン,と、とう、とい、とん,11,⾨,もんがまえ,"gate, door",Đứng dưới cổng (門) mở miệng (口) hỏi (問),8,作,開
王,VƯƠNG,Vua,"king, rule, magnate",N4,オウ,,4,⽟,たま,jewelry,1 (一) vùng đất (土) chỉ có một vua (王),2,閉,玉
国,QUỐC,Đất nước,country,N4,コク,くに,8,⼞,くにがまえ,"border, territorial boundaries",Vây quanh (口) bảo vệ viên ngọc (玉) quý của quốc gia (国),14,玉,谷
玉,NGỌC,Viên ngọc,"jewel, ball",N4,ギョク,たま,5,⽟,たま,jewelry,Vua (王) là chủ (丶) viên ngọc (玉),4,王,国
谷,CỐC,Thung lũng,valley,N4,コク,たに,7,⾕,たに,valley,8 (八) nhân (人) khẩu (口) sống dưới tuyệt tình cốc (谷),1,国,史
史,SỬ,Lịch sử,"history, chronicle",N4,シ,,5,⼝,くち,mouth,Miệng (口) say mê (メ) kể về lịch sử (史),1,谷,使
使,SỬ,Sử dụng,"use, send on a mission, order, messenger, envoy, ambassador, cause",N4,シ,つか、つかう、つかい,8,⺅,にんべん,person ,Người (亻) được quan lại (吏) sử dụng (使),7,史,台
台,ĐÀI,"Bệ, đài","pedestal, a stand, counter for machines and vehicles",N4,ダイ、タイ,"うてな, われ, つかさ",5,⼝,くち,mouth,4 (ム) mồm (口) nói như đài (台),5,使,始
閉,BẾ,Đóng,"closed, shut",N4,ヘイ,と、とじる、とざす、し、しめる、しまる,11,⾨,もんがまえ,"gate, door",Đứng dưới cổng (門) nói O (才) là cổng sẽ đóng (閉) lại,3,開,王
